tanggal,nama_produk,kategori,jumlah_terjual,harga_satuan,total
2026-06-25,Sneakers,Fashion,7,329191,2304337
2026-06-25,Headset Bluetooth,Elektronik,4,173614,694456
2026-06-25,Lampu LED,Rumah Tangga,3,59070,177210
2026-06-25,Headset Bluetooth,Elektronik,6,173408,1040448
2026-06-25,Kipas Angin Meja,Elektronik,4,162103,648412
2026-06-25,Lampu LED,Rumah Tangga,1,59261,59261
2026-06-25,Sneakers,Fashion,4,340454,1361816
2026-06-25,Headset Bluetooth,Elektronik,4,191180,764720
2026-06-25,Set Pisau Dapur,Rumah Tangga,2,149335,298670
2026-06-25,Celana Jeans,Fashion,3,232416,697248
2026-06-26,Tas Ransel,Fashion,3,205858,617574
2026-06-26,Set Pisau Dapur,Rumah Tangga,4,140575,562300
2026-06-26,Celana Jeans,Fashion,3,231330,693990
2026-06-26,Set Pisau Dapur,Rumah Tangga,4,136353,545412
2026-06-26,Tas Ransel,Fashion,2,208739,417478
2026-06-26,Lampu LED,Rumah Tangga,4,55608,222432
2026-06-26,Set Pisau Dapur,Rumah Tangga,3,152742,458226
2026-06-26,Kemeja Flanel,Fashion,5,157348,786740
2026-06-26,Lampu LED,Rumah Tangga,4,56361,225444
2026-06-26,Botol Minum 1L,Rumah Tangga,2,64398,128796
2026-06-26,Set Pisau Dapur,Rumah Tangga,2,144377,288754
2026-06-26,Tas Ransel,Fashion,5,182045,910225
2026-06-26,Tas Ransel,Fashion,3,199147,597441
2026-06-26,Power Bank 10000mAh,Elektronik,2,257482,514964
2026-06-26,Tas Ransel,Fashion,2,189085,378170
2026-06-27,Headset Bluetooth,Elektronik,11,177447,1951917
2026-06-27,Power Bank 10000mAh,Elektronik,8,243252,1946016
2026-06-27,Kaos Polos,Fashion,10,77620,776200
2026-06-27,Sneakers,Fashion,3,306892,920676
2026-06-27,Sneakers,Fashion,11,305604,3361644
2026-06-27,Headset Bluetooth,Elektronik,5,186699,933495
2026-06-27,Mouse Wireless,Elektronik,8,131028,1048224
2026-06-27,Set Pisau Dapur,Rumah Tangga,6,147214,883284
2026-06-27,Lampu LED,Rumah Tangga,8,57772,462176
2026-06-27,Sneakers,Fashion,11,336925,3706175
2026-06-27,Mouse Wireless,Elektronik,6,129873,779238
2026-06-27,Botol Minum 1L,Rumah Tangga,3,62495,187485
2026-06-27,Tas Ransel,Fashion,8,188052,1504416
2026-06-27,Botol Minum 1L,Rumah Tangga,5,66318,331590
2026-06-27,Botol Minum 1L,Rumah Tangga,5,60605,303025
2026-06-28,Celana Jeans,Fashion,7,228221,1597547
2026-06-28,Power Bank 10000mAh,Elektronik,2,230824,461648
2026-06-28,Sneakers,Fashion,4,329930,1319720
2026-06-28,Sneakers,Fashion,10,315269,3152690
2026-06-28,Sneakers,Fashion,8,297588,2380704
2026-06-28,Lampu LED,Rumah Tangga,1,58925,58925
2026-06-28,Lampu LED,Rumah Tangga,1,53947,53947
2026-06-28,Celana Jeans,Fashion,5,227427,1137135
2026-06-28,Sneakers,Fashion,11,321956,3541516
2026-06-28,Kaos Polos,Fashion,7,74858,524006
2026-06-28,Botol Minum 1L,Rumah Tangga,4,60101,240404
2026-06-28,Tas Ransel,Fashion,5,200589,1002945
2026-06-28,Kipas Angin Meja,Elektronik,5,146693,733465
2026-06-28,Mouse Wireless,Elektronik,7,134614,942298
2026-06-28,Headset Bluetooth,Elektronik,11,197045,2167495
2026-06-29,Power Bank 10000mAh,Elektronik,2,250595,501190
2026-06-29,Botol Minum 1L,Rumah Tangga,3,61689,185067
2026-06-29,Sneakers,Fashion,6,311160,1866960
2026-06-29,Celana Jeans,Fashion,4,244822,979288
2026-06-29,Kemeja Flanel,Fashion,4,171653,686612
2026-06-29,Kemeja Flanel,Fashion,4,173841,695364
2026-06-29,Headset Bluetooth,Elektronik,3,192371,577113
2026-06-29,Kaos Polos,Fashion,2,76801,153602
2026-06-29,Kaos Polos,Fashion,4,71392,285568
2026-06-29,Mouse Wireless,Elektronik,4,119770,479080
2026-06-29,Tas Ransel,Fashion,2,182968,365936
2026-06-29,Botol Minum 1L,Rumah Tangga,3,67074,201222
2026-06-29,Mouse Wireless,Elektronik,1,127117,127117
2026-06-29,Mouse Wireless,Elektronik,1,134294,134294
2026-06-29,Lampu LED,Rumah Tangga,3,50825,152475
2026-06-30,Sneakers,Fashion,3,314708,944124
2026-06-30,Lampu LED,Rumah Tangga,2,56677,113354
2026-06-30,Power Bank 10000mAh,Elektronik,3,252729,758187
2026-06-30,Tas Ransel,Fashion,1,198132,198132
2026-06-30,Lampu LED,Rumah Tangga,3,57487,172461
2026-06-30,Set Pisau Dapur,Rumah Tangga,3,143338,430014
2026-06-30,Power Bank 10000mAh,Elektronik,3,245233,735699
2026-06-30,Headset Bluetooth,Elektronik,5,195347,976735
2026-06-30,Sneakers,Fashion,7,343592,2405144
2026-06-30,Mouse Wireless,Elektronik,5,123709,618545
2026-06-30,Tas Ransel,Fashion,5,187826,939130
2026-06-30,Botol Minum 1L,Rumah Tangga,5,64634,323170
2026-06-30,Kemeja Flanel,Fashion,2,160308,320616
2026-06-30,Power Bank 10000mAh,Elektronik,4,236333,945332
2026-06-30,Kaos Polos,Fashion,8,78005,624040
2026-07-01,Celana Jeans,Fashion,3,217279,651837
2026-07-01,Mouse Wireless,Elektronik,3,124750,374250
2026-07-01,Kemeja Flanel,Fashion,5,160784,803920
2026-07-01,Kipas Angin Meja,Elektronik,5,164426,822130
2026-07-01,Headset Bluetooth,Elektronik,3,185492,556476
2026-07-01,Kaos Polos,Fashion,7,77640,543480
2026-07-01,Kaos Polos,Fashion,6,77287,463722
2026-07-01,Headset Bluetooth,Elektronik,4,172954,691816
2026-07-01,Kipas Angin Meja,Elektronik,5,148633,743165
2026-07-01,Celana Jeans,Fashion,5,233994,1169970
2026-07-01,Celana Jeans,Fashion,5,232198,1160990
2026-07-01,Celana Jeans,Fashion,4,229428,917712
2026-07-01,Kemeja Flanel,Fashion,2,159894,319788
2026-07-01,Power Bank 10000mAh,Elektronik,3,253674,761022
2026-07-01,Power Bank 10000mAh,Elektronik,2,254520,509040
2026-07-02,Kipas Angin Meja,Elektronik,5,154608,773040
2026-07-02,Set Pisau Dapur,Rumah Tangga,1,147245,147245
2026-07-02,Kaos Polos,Fashion,4,72554,290216
2026-07-02,Kemeja Flanel,Fashion,5,152173,760865
2026-07-02,Mouse Wireless,Elektronik,1,120486,120486
2026-07-02,Set Pisau Dapur,Rumah Tangga,2,140177,280354
2026-07-02,Tas Ransel,Fashion,4,206495,825980
2026-07-02,Power Bank 10000mAh,Elektronik,5,259610,1298050
2026-07-02,Kemeja Flanel,Fashion,4,164192,656768
2026-07-02,Celana Jeans,Fashion,1,223132,223132
2026-07-02,Kemeja Flanel,Fashion,4,176644,706576
2026-07-02,Power Bank 10000mAh,Elektronik,4,257626,1030504
2026-07-02,Botol Minum 1L,Rumah Tangga,1,60570,60570
2026-07-02,Mouse Wireless,Elektronik,5,117983,589915
2026-07-02,Kemeja Flanel,Fashion,2,154048,308096
2026-07-03,Sneakers,Fashion,7,325443,2278101
2026-07-03,Set Pisau Dapur,Rumah Tangga,5,142224,711120
2026-07-03,Kemeja Flanel,Fashion,5,174508,872540
2026-07-03,Kemeja Flanel,Fashion,1,166811,166811
2026-07-03,Lampu LED,Rumah Tangga,1,59048,59048
2026-07-03,Kaos Polos,Fashion,7,76506,535542
2026-07-03,Power Bank 10000mAh,Elektronik,2,231556,463112
2026-07-03,Set Pisau Dapur,Rumah Tangga,1,135141,135141
2026-07-03,Sneakers,Fashion,8,317465,2539720
2026-07-03,Kemeja Flanel,Fashion,3,152661,457983
2026-07-03,Kipas Angin Meja,Elektronik,5,149611,748055
2026-07-03,Power Bank 10000mAh,Elektronik,3,252345,757035
2026-07-03,Tas Ransel,Fashion,2,197801,395602
2026-07-03,Sneakers,Fashion,6,300276,1801656
2026-07-03,Mouse Wireless,Elektronik,2,133168,266336
2026-07-04,Mouse Wireless,Elektronik,8,130852,1046816
2026-07-04,Kipas Angin Meja,Elektronik,5,163041,815205
2026-07-04,Botol Minum 1L,Rumah Tangga,5,61093,305465
2026-07-04,Kipas Angin Meja,Elektronik,5,152582,762910
2026-07-04,Set Pisau Dapur,Rumah Tangga,6,145927,875562
2026-07-04,Power Bank 10000mAh,Elektronik,6,248843,1493058
2026-07-04,Kipas Angin Meja,Elektronik,5,150593,752965
2026-07-04,Headset Bluetooth,Elektronik,13,172903,2247739
2026-07-04,Headset Bluetooth,Elektronik,10,199787,1997870
2026-07-04,Headset Bluetooth,Elektronik,6,192788,1156728
2026-07-04,Set Pisau Dapur,Rumah Tangga,5,148515,742575
2026-07-04,Mouse Wireless,Elektronik,6,134938,809628
2026-07-04,Tas Ransel,Fashion,1,204804,204804
2026-07-04,Botol Minum 1L,Rumah Tangga,5,63418,317090
2026-07-04,Celana Jeans,Fashion,3,241397,724191
2026-07-05,Kipas Angin Meja,Elektronik,5,154887,774435
2026-07-05,Set Pisau Dapur,Rumah Tangga,1,134251,134251
2026-07-05,Celana Jeans,Fashion,1,225690,225690
2026-07-05,Sneakers,Fashion,5,338683,1693415
2026-07-05,Set Pisau Dapur,Rumah Tangga,1,144117,144117
2026-07-05,Kaos Polos,Fashion,10,75221,752210
2026-07-05,Tas Ransel,Fashion,1,193191,193191
2026-07-05,Kaos Polos,Fashion,5,72204,361020
2026-07-05,Botol Minum 1L,Rumah Tangga,5,68960,344800
2026-07-05,Power Bank 10000mAh,Elektronik,7,226531,1585717
2026-07-05,Kaos Polos,Fashion,8,77517,620136
2026-07-05,Headset Bluetooth,Elektronik,2,186546,373092
2026-07-05,Power Bank 10000mAh,Elektronik,1,243488,243488
2026-07-05,Tas Ransel,Fashion,5,205362,1026810
2026-07-05,Kipas Angin Meja,Elektronik,4,149838,599352
2026-07-06,Botol Minum 1L,Rumah Tangga,2,69994,139988
2026-07-06,Botol Minum 1L,Rumah Tangga,4,65533,262132
2026-07-06,Kaos Polos,Fashion,8,80062,640496
2026-07-06,Mouse Wireless,Elektronik,3,132280,396840
2026-07-06,Sneakers,Fashion,7,311801,2182607
2026-07-06,Headset Bluetooth,Elektronik,6,178572,1071432
2026-07-06,Lampu LED,Rumah Tangga,4,59390,237560
2026-07-06,Mouse Wireless,Elektronik,4,123930,495720
2026-07-06,Celana Jeans,Fashion,5,228699,1143495
2026-07-06,Sneakers,Fashion,4,317713,1270852
2026-07-06,Kipas Angin Meja,Elektronik,4,148522,594088
2026-07-06,Kaos Polos,Fashion,5,79272,396360
2026-07-06,Celana Jeans,Fashion,4,244200,976800
2026-07-06,Sneakers,Fashion,4,345006,1380024
2026-07-06,Headset Bluetooth,Elektronik,7,173936,1217552
2026-07-07,Botol Minum 1L,Rumah Tangga,4,60837,243348
2026-07-07,Headset Bluetooth,Elektronik,7,191584,1341088
2026-07-07,Mouse Wireless,Elektronik,3,116496,349488
2026-07-07,Celana Jeans,Fashion,4,239634,958536
2026-07-07,Tas Ransel,Fashion,3,181905,545715
2026-07-07,Tas Ransel,Fashion,4,206211,824844
2026-07-07,Celana Jeans,Fashion,4,239767,959068
2026-07-07,Set Pisau Dapur,Rumah Tangga,1,134232,134232
2026-07-07,Kaos Polos,Fashion,4,76573,306292
2026-07-07,Kipas Angin Meja,Elektronik,1,144841,144841
2026-07-07,Tas Ransel,Fashion,1,201361,201361
2026-07-07,Botol Minum 1L,Rumah Tangga,3,61530,184590
2026-07-07,Headset Bluetooth,Elektronik,3,171561,514683
2026-07-07,Celana Jeans,Fashion,2,230294,460588
2026-07-07,Kaos Polos,Fashion,8,75373,602984
2026-07-08,Mouse Wireless,Elektronik,5,118501,592505
2026-07-08,Sneakers,Fashion,4,326129,1304516
2026-07-08,Lampu LED,Rumah Tangga,4,51859,207436
2026-07-08,Tas Ransel,Fashion,3,187324,561972
2026-07-08,Tas Ransel,Fashion,4,179693,718772
2026-07-08,Kemeja Flanel,Fashion,2,169688,339376
2026-07-08,Power Bank 10000mAh,Elektronik,3,242715,728145
2026-07-08,Lampu LED,Rumah Tangga,4,53232,212928
2026-07-08,Kipas Angin Meja,Elektronik,3,148802,446406
2026-07-08,Kaos Polos,Fashion,5,80992,404960
2026-07-08,Kaos Polos,Fashion,6,73576,441456
2026-07-08,Kemeja Flanel,Fashion,3,178007,534021
2026-07-08,Headset Bluetooth,Elektronik,6,199147,1194882
2026-07-08,Headset Bluetooth,Elektronik,4,186951,747804
2026-07-08,Kipas Angin Meja,Elektronik,3,154918,464754
2026-07-09,Kaos Polos,Fashion,4,76284,305136
2026-07-09,Tas Ransel,Fashion,3,185332,555996
2026-07-09,Tas Ransel,Fashion,2,202974,405948
2026-07-09,Tas Ransel,Fashion,1,182431,182431
2026-07-09,Kemeja Flanel,Fashion,1,172619,172619
2026-07-09,Lampu LED,Rumah Tangga,2,53810,107620
2026-07-09,Power Bank 10000mAh,Elektronik,3,261057,783171
2026-07-09,Kipas Angin Meja,Elektronik,2,152904,305808
2026-07-09,Mouse Wireless,Elektronik,3,130730,392190
2026-07-09,Set Pisau Dapur,Rumah Tangga,3,145041,435123
2026-07-09,Mouse Wireless,Elektronik,4,120139,480556
2026-07-09,Kemeja Flanel,Fashion,3,171509,514527
2026-07-09,Power Bank 10000mAh,Elektronik,1,243758,243758
2026-07-09,Mouse Wireless,Elektronik,2,130083,260166
2026-07-09,Tas Ransel,Fashion,4,201995,807980
2026-07-10,Set Pisau Dapur,Rumah Tangga,4,141885,567540
2026-07-10,Headset Bluetooth,Elektronik,3,178027,534081
2026-07-10,Celana Jeans,Fashion,3,241498,724494
2026-07-10,Lampu LED,Rumah Tangga,3,53953,161859
2026-07-10,Power Bank 10000mAh,Elektronik,4,251853,1007412
2026-07-10,Headset Bluetooth,Elektronik,7,188538,1319766
2026-07-10,Lampu LED,Rumah Tangga,1,52548,52548
2026-07-10,Tas Ransel,Fashion,3,205104,615312
2026-07-10,Tas Ransel,Fashion,2,192138,384276
2026-07-10,Headset Bluetooth,Elektronik,5,198209,991045
2026-07-10,Power Bank 10000mAh,Elektronik,5,229209,1146045
2026-07-10,Mouse Wireless,Elektronik,3,122772,368316
2026-07-10,Tas Ransel,Fashion,5,209020,1045100
2026-07-10,Sneakers,Fashion,4,324471,1297884
2026-07-10,Tas Ransel,Fashion,4,182489,729956
2026-07-11,Kemeja Flanel,Fashion,4,152663,610652
2026-07-11,Kaos Polos,Fashion,5,74320,371600
2026-07-11,Power Bank 10000mAh,Elektronik,4,263852,1055408
2026-07-11,Set Pisau Dapur,Rumah Tangga,4,154319,617276
2026-07-11,Headset Bluetooth,Elektronik,4,181984,727936
2026-07-11,Botol Minum 1L,Rumah Tangga,2,60753,121506
2026-07-11,Tas Ransel,Fashion,1,199352,199352
2026-07-11,Headset Bluetooth,Elektronik,4,193489,773956
2026-07-11,Lampu LED,Rumah Tangga,7,52405,366835
2026-07-11,Kaos Polos,Fashion,5,76036,380180
2026-07-11,Mouse Wireless,Elektronik,7,130772,915404
2026-07-11,Headset Bluetooth,Elektronik,4,178407,713628
2026-07-11,Set Pisau Dapur,Rumah Tangga,2,139215,278430
2026-07-11,Power Bank 10000mAh,Elektronik,1,251313,251313
2026-07-11,Mouse Wireless,Elektronik,2,115297,230594
2026-07-12,Headset Bluetooth,Elektronik,2,175357,350714
2026-07-12,Kipas Angin Meja,Elektronik,1,153039,153039
2026-07-12,Kipas Angin Meja,Elektronik,5,144176,720880
2026-07-12,Celana Jeans,Fashion,1,235497,235497
2026-07-12,Botol Minum 1L,Rumah Tangga,7,65039,455273
2026-07-12,Headset Bluetooth,Elektronik,10,191726,1917260
2026-07-12,Botol Minum 1L,Rumah Tangga,1,66490,66490
2026-07-12,Headset Bluetooth,Elektronik,8,199758,1598064
2026-07-12,Tas Ransel,Fashion,5,182768,913840
2026-07-12,Power Bank 10000mAh,Elektronik,4,260651,1042604
2026-07-12,Lampu LED,Rumah Tangga,2,51905,103810
2026-07-12,Kemeja Flanel,Fashion,7,168281,1177967
2026-07-12,Set Pisau Dapur,Rumah Tangga,5,149921,749605
2026-07-12,Lampu LED,Rumah Tangga,5,55268,276340
2026-07-12,Set Pisau Dapur,Rumah Tangga,1,147445,147445
2026-07-13,Power Bank 10000mAh,Elektronik,5,258829,1294145
2026-07-13,Kipas Angin Meja,Elektronik,4,164064,656256
2026-07-13,Botol Minum 1L,Rumah Tangga,4,69036,276144
2026-07-13,Celana Jeans,Fashion,4,247310,989240
2026-07-13,Sneakers,Fashion,5,331756,1658780
2026-07-13,Celana Jeans,Fashion,3,241208,723624
2026-07-13,Mouse Wireless,Elektronik,4,128736,514944
2026-07-13,Power Bank 10000mAh,Elektronik,1,228976,228976
2026-07-13,Power Bank 10000mAh,Elektronik,3,242329,726987
2026-07-13,Mouse Wireless,Elektronik,5,126127,630635
2026-07-13,Set Pisau Dapur,Rumah Tangga,1,146431,146431
2026-07-13,Sneakers,Fashion,7,312504,2187528
2026-07-13,Headset Bluetooth,Elektronik,7,198864,1392048
2026-07-13,Celana Jeans,Fashion,5,220095,1100475
2026-07-13,Kaos Polos,Fashion,5,70856,354280
2026-07-14,Celana Jeans,Fashion,3,247986,743958
2026-07-14,Power Bank 10000mAh,Elektronik,5,255294,1276470
2026-07-14,Kaos Polos,Fashion,8,78686,629488
2026-07-14,Lampu LED,Rumah Tangga,5,56539,282695
2026-07-14,Headset Bluetooth,Elektronik,4,188226,752904
2026-07-14,Mouse Wireless,Elektronik,3,120465,361395
2026-07-14,Celana Jeans,Fashion,2,229398,458796
2026-07-14,Mouse Wireless,Elektronik,4,126326,505304
2026-07-14,Power Bank 10000mAh,Elektronik,1,230961,230961
2026-07-14,Power Bank 10000mAh,Elektronik,2,254647,509294
2026-07-14,Sneakers,Fashion,4,315895,1263580
2026-07-14,Celana Jeans,Fashion,3,227917,683751
2026-07-14,Lampu LED,Rumah Tangga,1,55846,55846
2026-07-14,Mouse Wireless,Elektronik,5,118148,590740
2026-07-14,Headset Bluetooth,Elektronik,5,190149,950745
2026-07-15,Botol Minum 1L,Rumah Tangga,4,66113,264452
2026-07-15,Kemeja Flanel,Fashion,5,157491,787455
2026-07-15,Power Bank 10000mAh,Elektronik,1,238930,238930
2026-07-15,Kemeja Flanel,Fashion,5,169704,848520
2026-07-15,Botol Minum 1L,Rumah Tangga,3,65280,195840
2026-07-15,Headset Bluetooth,Elektronik,6,176727,1060362
2026-07-15,Headset Bluetooth,Elektronik,3,176250,528750
2026-07-15,Kemeja Flanel,Fashion,1,159441,159441
2026-07-15,Headset Bluetooth,Elektronik,5,184922,924610
2026-07-15,Mouse Wireless,Elektronik,2,122604,245208
2026-07-15,Set Pisau Dapur,Rumah Tangga,3,146362,439086
2026-07-15,Power Bank 10000mAh,Elektronik,1,240965,240965
2026-07-15,Sneakers,Fashion,3,295359,886077
2026-07-15,Lampu LED,Rumah Tangga,4,54377,217508
2026-07-15,Kipas Angin Meja,Elektronik,3,158475,475425
2026-07-16,Headset Bluetooth,Elektronik,6,198799,1192794
2026-07-16,Botol Minum 1L,Rumah Tangga,3,68453,205359
2026-07-16,Power Bank 10000mAh,Elektronik,1,242519,242519
2026-07-16,Kaos Polos,Fashion,8,74228,593824
2026-07-16,Power Bank 10000mAh,Elektronik,3,240914,722742
2026-07-16,Kipas Angin Meja,Elektronik,3,151019,453057
2026-07-16,Mouse Wireless,Elektronik,1,116527,116527
2026-07-16,Set Pisau Dapur,Rumah Tangga,3,145230,435690
2026-07-16,Celana Jeans,Fashion,2,243549,487098
2026-07-16,Kaos Polos,Fashion,5,70233,351165
2026-07-16,Mouse Wireless,Elektronik,1,127047,127047
2026-07-16,Mouse Wireless,Elektronik,5,134025,670125
2026-07-16,Botol Minum 1L,Rumah Tangga,6,67646,405876
2026-07-16,Botol Minum 1L,Rumah Tangga,6,66883,401298
2026-07-16,Tas Ransel,Fashion,6,199221,1195326
2026-07-17,Tas Ransel,Fashion,4,189263,757052
2026-07-17,Power Bank 10000mAh,Elektronik,3,243781,731343
2026-07-17,Kemeja Flanel,Fashion,3,167413,502239
2026-07-17,Set Pisau Dapur,Rumah Tangga,4,135121,540484
